,Name,Price,Price per,Unit,Packet Size,Supermarket,Category
48,Oro Di Parma Tomaten stückig,"1,19 €","2,80 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
49,Die Thüringer Leberwurst im Glas,"2,09 €","0,70 €",Preis pro 100 Gramm,(Glas 300 Gramm),kaufland,Konserven
50,Simon Sauerbraten in süß-saurer Sauce,"3,29 €","8,23 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
51,Lutece Champignons 2. Wahl - geschnitten,"1,89 €","0,72 €",Preis pro 1 KG,(Glas 580 ML),kaufland,Konserven
52,K Bio Gemüsemais zart & jung,"1,29 €","3,58 €",Preis pro 1 Liter,(Glas 360 ML),kaufland,Konserven
53,K Classic Linsen Eintopf mit Würstchen und magerem Schweinefleisch,"0,89 €","1,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
54,K Classic Delikatessbohnen,"0,79 €","1,45 €",Preis pro 1 KG,(Dose 545 Gramm),kaufland,Konserven
55,K Bio Sellerie Salat in Streifen,"0,99 €","0,27 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
56,K Classic Dunkelrote Kidney Bohnen,"0,39 €","0,92 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
57,K Classic Puszta Salat fein sauer,"0,59 €","0,18 €",Preis pro 100 Gramm,(Glas 330 Gramm),kaufland,Konserven
58,K Bio Gewürzgurken knackig & würzig,"1,95 €","2,71 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
59,K Bio Rote Bete in Scheiben,"0,99 €","2,68 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
60,"K Classic Spargelstangen weiss, geschält","2,09 €","3,17 €",Preis pro 1 KG,(Glas 660 Gramm),kaufland,Konserven
61,K Exquisit Steinpilze,"3,99 €","1,27 €",Preis pro 100 ml,(Glas 314 ML),kaufland,Konserven
62,K Classic Sauerkraut Topf mit Kasslerschulter und Kartoffeln,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
63,K Classic Ravioli Bolognese mit mild-würziger Fleisch-Sauce,"0,89 €","1,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
64,K Classic Mandarin-Orangen leicht gezuckert,"0,65 €","0,21 €",Preis pro 100 Gramm,(Dose 312 Gramm),kaufland,Konserven
65,K Classic Maiskölbchen süß-sauer,"0,99 €","0,29 €",Preis pro 100 Gramm,(Glas 340 Gramm),kaufland,Konserven
66,Rügen Fisch Scomber Mix Classic,"0,99 €","0,83 €",Preis pro 100 Gramm,(Dose 120 Gramm),kaufland,Konserven
67,Streit Schaschlik,"2,49 €","4,98 €",Preis pro 1 KG,(Dose 500 Gramm),kaufland,Konserven
68,Streit Saure Nieren mit Champignons,"2,19 €","4,38 €",Preis pro 1 KG,(Dose 500 Gramm),kaufland,Konserven
69,Omnimax Land Diele Grünkohltopf,"2,75 €","3,44 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
70,Tulip Dänischer Sandwichbelag,"3,29 €","0,73 €",Preis pro 100 Gramm,(Dose 450 Gramm),kaufland,Konserven
71,Lacroix Maronen,"3,99 €","9,98 €",Preis pro 1 KG,(Dose 400  Gramm),kaufland,Konserven
72,Tulip Hähnchenfleisch im eigenen Saft,"2,49 €","0,83 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
73,K Classic Weiße Bohnen Topf mit magerem Schweinefleisch,"0,79 €","0,99 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
74,K Classic Prinzessbohnen fein,"0,59 €","1,48 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
75,K Classic Fruchtcup mediteran leicht gezuckert,"1,59 €","3,31 €",Preis pro 1 KG,(Packung 480 Gramm),kaufland,Konserven
76,K Classic Weiße Bohnen mit Suppengrün,"0,69 €","0,86 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
77,Saupiquet Thunfisch-Filets Naturale ohne Öl,"2,49 €","1,56 €",Preis pro 100 Gramm,"(Packung 160 Gramm, Minidosen 2 x 80 g )",kaufland,Konserven
78,Sonnen Bassermann Hühner Nudeltopf mit buntem Gemüse,"1,79 €","2,24 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
79,K Classic Gurkentopf,"1,25 €","1,38 €",Preis pro 1 Liter,(Glas 1550 Gramm),kaufland,Konserven
80,K Classic Cornichons klein und knackig,"0,99 €","0,14 €",Preis pro 100 ml,(Glas 720 ML),kaufland,Konserven
81,Cirio Passata Rustica,"1,59 €","2,21 €",Preis pro 1 Liter,(Flasche (Glas) 720 ML),kaufland,Konserven
82,Hengstenberg Mildessa Mildes Weinsauerkraut 6 Portionen,"1,29 €","1,59 €",Preis pro 1 KG,(Dose 810 Gramm),kaufland,Konserven
83,Hengstenberg Honiggurken,"1,59 €","4,30 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
84,Erasco Jäger Hackbällchen in herzhafter Sauce,"3,49 €","4,36 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
85,Appel Heringsfilets in Paprika-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
86,Heines Ragout Fin,"1,99 €","4,98 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
87,K Classic Wald-Heidelbeeren gezuckert,"1,99 €","3,69 €",Preis pro 1 KG,(Glas 540 Gramm),kaufland,Konserven
88,Hereford Corned Beef,"3,49 €","1,03 €",Preis pro 100 Gramm,(Dose 340 Gramm),kaufland,Konserven
89,Dreistern Gourmet Wildschwein Edelgulasch mit Backpflaumen und Portwein,"4,49 €","1,12 €",Preis pro 100 Gramm,(Dose 400 Gramm),kaufland,Konserven
90,Lotao Jackfruit Natur,"3,89 €","9,73 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
91,Dreistern Feinstes Wildragout,"4,49 €","1,12 €",Preis pro 100 Gramm,(Dose 400 Gramm),kaufland,Konserven
92,Dreistern Hirschroulade,"4,49 €","1,12 €",Preis pro 100 Gramm,(Dose 400 Gramm),kaufland,Konserven
93,Hengstenberg BBQ Kraut,"1,49 €","3,73 €",Preis pro 1 KG,(Beutel 400 Gramm),kaufland,Konserven
94,Saupiquet Thunfisch-Filets in feinstem Olivenöl,"1,99 €","1,08 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland,Konserven
95,Sonnen Bassermann Mein Apfelmus,"0,99 €","2,68 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
96,"K Classic Rote Bete in Scheiben, fein-sauer","0,39 €","0,67 €",Preis pro 1 Liter,(Glas 580 ML),kaufland,Konserven
97,Lausitzer Früchte Vanille Rhabarber,"1,69 €","0,25 €",Preis pro 100 Gramm,(Glas 680 Gramm),kaufland,Konserven
98,"Homann Meeres Buffet Bismarck Hering nach Hausfrauenart,","2,49 €","4,98 €",Preis pro 1 KG,(Glas 500 Gramm),kaufland,Konserven
99,Hengstenberg Cornichons,"1,89 €","0,51 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
100,K Classic Grüne Bohnen Topf mit magerem Schweinefleisch,"0,79 €","0,99 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
101,K Classic Makrelenfilets in Sonnenblumenöl,"1,29 €","1,03 €",Preis pro 100 Gramm,(Dose 125 Gramm),kaufland,Konserven
102,Döbelner Schweinegulasch wie hausgemacht,"2,49 €","6,23 €",Preis pro 1 KG,(Glas 400 Gramm),kaufland,Konserven
103,Spreewaldkönigin Letcho,"1,65 €","2,29 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
104,Maggi Ravioli in pikanter Sauce,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
105,K Bio Pizza Tomaten geschält und gehackt,"0,85 €","2,00 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
106,K Classic Linsen Eintopf mit magerem Schweinefleisch,"0,45 €","0,63 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
107,K Classic Bockwürste,"0,99 €","1,24 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
108,K Classic Apfelrotkohl,"1,19 €","0,32 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
109,K Classic Rotkohl fein gewürzt,"0,69 €","1,19 €",Preis pro 1 Liter,(Dose 580 ML),kaufland,Konserven
110,K Classic Erbsen Eintopf mit magerem Schweinefleisch,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
111,K Bio Apfel Mangomark fruchtig & lecker,"1,89 €","0,63 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
112,"K Classic Ananas in Scheiben, leicht gezuckert","1,39 €","1,74 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
113,Buss  Paprika Reistopf,"2,39 €","2,99 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
114,Yano Bierschinken,"1,99 €","0,66 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland,Konserven
115,K Classic Gemüse-Nudeltopf,"1,99 €","1,00 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
116,Erasco Feuertopf mit Paprika & grünen Bohnen,"3,49 €","1,75 €",Preis pro 100 Gramm,(Glas 200 Gramm),kaufland,Konserven
117,"Rügen-Krone Heringsfilets in Senf-Sauce, geteilt","0,85 €","0,43 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
118,Maggi Ravioli Diavolo,"1,39 €","1,74 €",Preis pro 1 KG,(Dose 800  Gramm),kaufland,Konserven
119,Maggi Spaghetti Bolognese,"1,39 €","1,72 €",Preis pro 1 KG,(Dose 810  Gramm),kaufland,Konserven
120,Buss  Westfälischer Graupentopf,"1,59 €","1,99 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
121,Omnimax Land Diele Hühner Frikasee,"1,59 €","3,98 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
122,Weight Watchers Ravioli in würziger Tomatensauce,"1,69 €","4,23 €",Preis pro 1 Liter,(Dose 400 ML),kaufland,Konserven
123,Followfish Thunfisch Filets in Bio Sonnenblumenöl,"2,89 €","1,56 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland,Konserven
124,Hak Weiße Bohnen,"0,85 €","1,06 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
125,K Classic Mexikanischer Bohneneintopf mit Kedneybohnen und Jagdwurst,"0,65 €","1,23 €",Preis pro 1 KG,(Glas 530 Gramm),kaufland,Konserven
126,K Classic Party Gurken fein-würzig,"0,65 €","1,12 €",Preis pro 1 Liter,(Glas 580 ML),kaufland,Konserven
127,K Classic Party Gurken würzig-scharf,"1,45 €","2,01 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
128,K Bio Apfelmark fruchtig & lecker,"0,89 €","1,11 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
129,K Classic Karotten gewürfelt,"0,55 €","0,76 €",Preis pro 1 KG,(Glas 720 Gramm),kaufland,Konserven
130,K Classic Apfelmus,"2,99 €","0,00 €",Preis pro 100 Gramm,(Dose 425 ML),kaufland,Konserven
131,"Saupiquet Thunfisch-Filets in feinstem Olivenöl, Minidosen 2 x 80 g","2,39 €","1,29 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland,Konserven
132,Erasco 2 Kohlrouladen in herzhafter Sauce,"2,69 €","3,36 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
133,Meica Ragout Fin Kalb- und Geflügelfleisch,"2,99 €","7,48 €",Preis pro 1 KG,(Dose 400  Gramm),kaufland,Konserven
134,Maggi Ein Teller Gulaschtopf mit Kartoffeln,"1,25 €","3,97 €",Preis pro 1 KG,(Dose 315 Gramm),kaufland,Konserven
135,Maggi Ein Teller Ravioli Bolognese,"1,25 €","3,68 €",Preis pro 1 KG,(Dose 340 Gramm),kaufland,Konserven
136,Libbys Fruchtcocktail Natursüß,"1,79 €","4,21 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
137,Libbys Fruchtcocktail,"1,99 €","4,68 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
138,"Krini Pfefferoni klein, extra-scharf","2,69 €","7,27 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
139,Odenwald Cocktailkirschen entsteint,"1,99 €","0,94 €",Preis pro 100 ml,(Glas 212 ML),kaufland,Konserven
140,"Hengstenberg Rotkohl traditionell, 6 Portionen","1,59 €","1,87 €",Preis pro 1 Liter,(Dose 850 ML),kaufland,Konserven
141,Oro di Parma Tomaten stückig,"1,19 €","2,98 €",Preis pro 1 KG,(Getränkekarton 400 Gramm),kaufland,Konserven
142,Oro di Parma Tomaten passiert,"1,19 €","2,98 €",Preis pro 1 KG,(Getränkekarton 400 Gramm),kaufland,Konserven
143,Erasco Gulasch-Topf Ungarische Art mit Spirli-Nudeln,"3,39 €","4,24 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
144,"Dittmann Palmen - Herzen Natur, mild würzig","3,49 €","0,00 €",Preis pro 1 KG,(Dose 425 ML),kaufland,Konserven
145,K Bio Gemüsemais,"1,09 €","0,60 €",Preis pro 100 Gramm,(Dose 425 ML),kaufland,Konserven
146,Larsen Seemuschelfleisch Dressing französische Art,"1,29 €","1,17 €",Preis pro 100 Gramm,(Dose 110 Gramm),kaufland,Konserven
147,Lacroix Ragout Fin nach Toulouser Art,"5,99 €","14,98 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
148,Bel Sun Artischokenherzen,"1,99 €","4,68 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
149,Campo Verde Bio Mix Mexikana,"1,89 €","0,54 €",Preis pro 100 Gramm,(Glas 350 Gramm),kaufland,Konserven
150,Rügen Fisch Kieler Sprotten Geräuchert,"0,95 €","0,86 €",Preis pro 100 Gramm,(Dose 110 Gramm),kaufland,Konserven
151,Sonnen-Bassermann Mein Frühlingstopf mit Fleischklößchen,"1,95 €","2,44 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
152,Maggi Ein Teller Linsentopf mit Speck,"1,09 €","3,30 €",Preis pro 1 KG,(Dose 330 Gramm),kaufland,Konserven
153,Maggi Ein Teller Grüner Bohnentopf mit Rindfleisch,"1,09 €","3,35 €",Preis pro 1 KG,(Dose 325  Gramm),kaufland,Konserven
154,Erasco 1 Portion Linsen-Eintopf mit Würstchen,"1,19 €","2,98 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
155,Lysell Friesenröllchen,"2,19 €","1,75 €",Preis pro 100 Gramm,(Dose 125 Gramm),kaufland,Konserven
156,Kühne Gurkenviertel,"1,69 €","2,35 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
157,Hawesta extra zarte Heringsfilets in Paprika Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
158,Libbys Mandarin-Orangen,"1,45 €","0,46 €",Preis pro 100 ml,(Dose 314 ML),kaufland,Konserven
159,"Libbys Natursüß Ananas in Scheiben, 4 Stück","1,29 €","5,47 €",Preis pro 1 Liter,(Dose 236 ML),kaufland,Konserven
160,"Hengstenberg Mildessa Weinkraut mit Speck, 3 Portionen","0,99 €","2,33 €",Preis pro 1 Liter,(Dose 425 ML),kaufland,Konserven
161,Keunecke Harzer Würzfleisch,"2,25 €","0,56 €",Preis pro 100 Gramm,(Dose 400 Gramm),kaufland,Konserven
162,Omnimax Ragout Fin,"1,89 €","4,73 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
163,Schaller Oma Hildes Mettwurst,"1,99 €","0,66 €",Preis pro 100 Gramm,(Glas 300 Gramm),kaufland,Konserven
164,"K Classic Italienischer Tomaten-Nudel-Topf mit Tomaten, Zucchini und Kräutern","0,85 €","1,06 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
165,"Libbys Ananas in Scheiben, 8 Stück","2,49 €","2,93 €",Preis pro 1 Liter,(Dose 850 ML),kaufland,Konserven
166,Libbys Pfirsiche in Schnitten,"1,19 €","5,04 €",Preis pro 1 Liter,(Dose 236 ML),kaufland,Konserven
167,Libbys Pfirsiche Halbe Frucht,"1,99 €","2,41 €",Preis pro 1 KG,(Dose 825 Gramm),kaufland,Konserven
168,"Hengstenberg Rotkohl traditionell, 5 Portionen","1,09 €","1,51 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
169,Hengstenberg Apfelrotkohl traditionell,"1,09 €","1,51 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
170,Hengstenberg Rote Bete Salat,"0,99 €","0,27 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
171,Hengstenberg Puszta Salat,"1,39 €","3,76 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
172,K Classic Oliven mit Chili und Kräutern der Provence Grüne Manzanilla,"0,95 €","0,44 €",Preis pro 100 Gramm,(Glas 215 Gramm),kaufland,Konserven
173,K Classic Apfelmark,"1,45 €","2,07 €",Preis pro 1 KG,(Glas 700 Gramm),kaufland,Konserven
174,K Classic Thunfisch Salat American,"2,29 €","0,82 €",Preis pro 100 Gramm,(Dose 280 Gramm),kaufland,Konserven
175,K Classic Thunfisch Salat Italian,"2,29 €","0,82 €",Preis pro 100 Gramm,(Dose 280 Gramm),kaufland,Konserven
176,Larsen Kieler Sprotten in Öl,"1,19 €","1,08 €",Preis pro 100 Gramm,(Dose 110 Gramm),kaufland,Konserven
177,Appel Heringsfilet Salsa-Picante,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200  Gramm),kaufland,Konserven
178,Lausitzer Schwarze Johannisbeeren,"2,19 €","4,06 €",Preis pro 1 KG,(Glas 540 Gramm),kaufland,Konserven
179,"Buss  2 Frikadellen mit Kartoffeln, Karotten und Soße","1,39 €","1,74 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
180,"Halko Bockwürste im Naturdarm, 5 Stück","3,19 €","4,69 €",Preis pro 1 KG,(Glas 680 Gramm),kaufland,Konserven
181,Keunecke Kohlrouladen 2 Kohlrouladen mit feiner Fleischfüllung,"2,99 €","3,74 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
182,Followfish Thunfisch Filets Natur in eigenem Saft,"2,79 €","1,51 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland,Konserven
183,Pilz Krone Steinpilze geschnitten,"3,99 €","0,94 €",Preis pro 100 ml,(Dose 425 ML),kaufland,Konserven
184,Tulip Corned Beef,"2,99 €","0,88 €",Preis pro 100 Gramm,(Dose 340 Gramm),kaufland,Konserven
185,Saupiquet Thunfisch Brotaufstrich Pate Classic,"2,49 €","2,17 €",Preis pro 100 Gramm,(Dose 115 Gramm),kaufland,Konserven
186,"K Classic Torten Pfirsiche in Schnitten, gezuckert","1,59 €","1,87 €",Preis pro 1 Liter,(Dose 850 ML),kaufland,Konserven
187,K Classic Thunfisch Salat Mexican,"2,29 €","0,82 €",Preis pro 100 Gramm,(Dose 280 Gramm),kaufland,Konserven
188,Saupiquet Thunfisch Salat Snack Western,"2,09 €","1,31 €",Preis pro 100 Gramm,(Dose 160  Gramm),kaufland,Konserven
189,Appel Fisch Minis Heringsfilet-Stücke in tomatiger Ketchup-Sauce,"1,19 €","1,19 €",Preis pro 100 Gramm,(Dose 100 Gramm),kaufland,Konserven
190,Appel Wellness Heringfilets Energie,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
191,"Rügen-Krone Heringsfilets in Paprika-Sauce, geteilt","0,85 €","0,43 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
192,Rügen-Krone Filetierte Bratheringe,"1,29 €","3,97 €",Preis pro 1 KG,(Dose 325 Gramm),kaufland,Konserven
193,Lausitzer Fruity Fips Pfirsichwürfel,"1,85 €","0,62 €",Preis pro 100 Gramm,(Packung 2 x 150 Gramm),kaufland,Konserven
194,Sonnen Bassermann Mein Möhrentopf mit Fleischklösschen,"0,88 €","2,71 €",Preis pro 1 KG,(Dose 325 Gramm),kaufland,Konserven
195,Maggi Ein Teller Reistopf mit Huhn,"2,39 €","2,99 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
196,Erasco Kartoffeltopf mit Würstchen,"3,29 €","6,33 €",Preis pro 1 KG,"(Glas 520 Gramm, 10 Stück)",kaufland,Konserven
197,Meica Wiener Würstchen im zarten Saitling,"2,69 €","5,38 €",Preis pro 1 KG,(Dose 500 Gramm),kaufland,Konserven
198,Streit   3 Schaschlik-Spieße in würziger Sauce,"0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
199,"K Classic Sauerkirschen entsteint, gezuckert","1,99 €","2,49 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
200,Buss  Gutsherrentopf,"1,99 €","2,49 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
201,Buss Holzfällertopf,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
202,Appel Heringsfilets Tomate & Curry,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
203,Appel Heringsfilets in Piri-Mango-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
204,Appel Hering zarte Filets in Dill-Kräuter-Creme,"1,99 €","1,90 €",Preis pro 100 Gramm,(Dose 105 Gramm),kaufland,Konserven
205,Rügen Fisch Bücklingsfilets in feinem Pflanzenöl und eigenem Saft,"1,39 €","0,73 €",Preis pro 100 Gramm,(Dose 190 Gramm),kaufland,Konserven
206,Rügen Fisch Räuchercocktail,"1,79 €","0,94 €",Preis pro 100 Gramm,(Dose 190 Gramm),kaufland,Konserven
207,"Rügen Fisch Pfeffermakrelenfilets geräuchert, mit Pfeffer in Aufguss","1,79 €","0,90 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
208,Hawesta extra zarte Heringsfilets in Toskana-Sauce,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland,Konserven
209,Saupiquet Thunfisch-Filets in Sonnenblumenöl,"2,39 €","1,29 €",Preis pro 100 Gramm,(Dose 185 Gramm),kaufland,Konserven
210,Müllers Bio Leberwurst nach Hausmacher Art,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland,Konserven
211,Müllers Bio Heidefrühstück,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland,Konserven
212,Müllers Bio Zwiebelwurst gekocht,"2,39 €","1,49 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland,Konserven
213,"Hengstenberg Mildessa 3 Minuten fruchtig-pikant, 1-2 Portionen","1,09 €","0,35 €",Preis pro 100 Gramm,(Beutel 310 Gramm),kaufland,Konserven
214,Simon Rinderrouladen 2 Stück in feiner Bratensauce,"2,99 €","7,48 €",Preis pro 1 KG,(Dose 400 Gramm),kaufland,Konserven
215,Yano Schweinefleisch,"1,69 €","0,56 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
216,Halberstäder Gelbe Erbsen Eintopf,"2,29 €","2,86 €",Preis pro 1 Liter,(Dose 800 ML),kaufland,Konserven
217,Solfa Sülzwurst,"1,45 €","0,91 €",Preis pro 100 Gramm,(Glas 160 Gramm),kaufland,Konserven
218,"Favorit Mirabellen mit Stein, gezuckert","1,29 €","1,79 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
219,Meica Geflügel-Würstchen,"1,79 €","0,47 €",Preis pro 100 Gramm,(Glas 180 Gramm),kaufland,Konserven
220,Waldkauz Bio Waldheidelbeeren gezuckert,"2,79 €","0,75 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
221,Fitini Birnen geviertelt,"1,99 €","5,38 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
222,Fitini Stachelbeeren,"1,99 €","5,38 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
223,Fitini Mirabellen mit Stein,"1,89 €","5,11 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
224,Fitini Wild Preiselbeeren,"3,19 €","0,86 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
225,Fitini Waldheidelbeeren,"2,49 €","0,67 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
226,Fitini Himbeeren,"1,99 €","0,54 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
227,Fitini Pfirsiche 1/2 Frucht,"1,79 €","4,84 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
228,Fitini Aprikosen 1/2 Frucht,"1,79 €","0,48 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
229,Fitini Erdbeeren,"1,99 €","5,38 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
230,Fitini Cornichons klein und fein,"1,59 €","0,43 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
231,Fitini Rote Bete Kugeln,"1,39 €","0,38 €",Preis pro 100 ml,(Glas 370 ML),kaufland,Konserven
232,Sonnen Bassermann Mein Erbspüree,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland,Konserven
233,Gut Wild Wildschweingulasch,"2,99 €","1,00 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
234,Gut Wild Hirschgulasch,"2,99 €","1,00 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
235,Saupiquet Thunfisch Brotaufstrich Pate Knoblauch,"2,29 €","1,99 €",Preis pro 100 Gramm,(Dose 115 Gramm),kaufland,Konserven
236,"Homann Brathering in Aspik, 2 x 100 g","1,59 €","7,95 €",Preis pro 1 KG,(Schale 200 Gramm),kaufland,Konserven
237,Rügen Fisch Dorschleber in eigenem Öl und Saft,"1,15 €","1,00 €",Preis pro 100 Gramm,(Dose 115 Gramm),kaufland,Konserven
238,Omnimax Land Diele Schweinefleisch im eigenen Saft,"1,29 €","0,43 €",Preis pro 100 Gramm,(Dose 300 Gramm),kaufland,Konserven
239,armour Brasilianisches Corned Beef,"3,19 €","0,94 €",Preis pro 100 Gramm,(Dose 340 Gramm),kaufland,Konserven
240,K Bio Tomatenpaprika in Streifen,"1,59 €","4,30 €",Preis pro 1 Liter,(Glas 370 ML),kaufland,Konserven
241,Landkost Erdbeeren gezuckert,"1,99 €","2,76 €",Preis pro 1 KG,(Glas 720 Gramm),kaufland,Konserven
242,Schulte Rillettes,"2,89 €","0,96 €",Preis pro 100 Gramm,(Glas 300 Gramm),kaufland,Konserven
243,Lorado Erdbeeren leicht gezuckert,"0,99 €","2,41 €",Preis pro 1 KG,(Dose 410 Gramm),kaufland,Konserven
244,Saupiquet Thunfisch in Olivenöl,"2,19 €","1,18 €",Preis pro 100 Gramm,(Dose 185  Gramm),kaufland,Konserven
245,Rügen Fisch Lachsfilet in Gravadsauce,"1,79 €","1,43 €",Preis pro 100 Gramm,(Dose 125 Gramm),kaufland,Konserven
246,Kühne Schlemmertöpfchen Feine Gürkchen,"2,29 €","3,95 €",Preis pro 1 Liter,(Glas 580 ML),kaufland,Konserven
247,Hengstenberg Knax Polnische Art,"1,59 €","2,21 €",Preis pro 1 Liter,(Glas 720 ML),kaufland,Konserven
