,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
1377,Ostermeier Regensburger Domschinken,1.49,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.86
1378,Herta Delikatess Leberwurst cremig und fein,2.49,100 Gramm,Packung 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.5
1379,"Abraham Ardenner Kernschicken mild geräuchert, in Scheiben",1.99,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.99
1380,"Windau Schinken Vespermett light 10 % Fett,  2 x 100 g",1.39,100 Gramm,Folie 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.7
1381,Meisters Lyoner Champignon,1.69,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.85
1382,Meisters Paprika Lyoner,1.69,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.85
1383,Wiesenhof Black Puty Herzhaft im Heißrauch gegart,1.29,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.61
1384,Cornelius Gänse Leberwurst,1.79,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.9
1385,K Purland Kasseler Nuss-Schinken,5.49,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.549
1386,"K Purland Grillfackeln vom Schwein, mariniert,",2.79,100 Gramm,Packung 350 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.7969999999999999
1387,Wiesenhof Wiesn Hendl gewürzt,3.99,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.399
1388,K Classic Jagdwurst,0.99,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.5
1389,casademont Chorizo Extra im Ring,2.99,100 Gramm,Folie 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.2
1390,Handl Tyrol Feiner Raclettespeck,2.99,100 Gramm,Packung 120 Gramm,kaufland,Fleisch Wurst Aufschnitt,2.49
1391,Montorsi Prosciutto Cotto Monvero,1.49,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.745
1392,Eberswalder Jagdwurst am Stück,2.29,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.5730000000000001
1393,Gutfried Geflügel Fleischwurst,2.29,100 Gramm,Packung 350 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.654
1394,Montorsi Mortadella Bologna geschnitten,1.79,100 Gramm,Vakuum 120 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.49
1395,Zimmermann Toscana-Griller 4 x 75 g,1.79,100 Gramm,Packung 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.6
1396,Emsland Hähnchenfiletspitzen,3.29,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.8230000000000001
1397,Herta Saftiger Genuss Saftschinken gegart,2.49,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.25
1398,Rügenwalder Teewurst fein,1.79,100 Gramm,Becher 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.43
1399,Pluma Gänseleberpastete mit Portwein,1.69,100 Gramm,Becher 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.13
1400,"Meister Stück Leberkäse bayrische Art, grob in Scheiben",0.69,100 Gramm,Packung 70 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.986
1401,"Meister Stück Leberkäse bayrische Art, fein in Scheiben",0.69,100 Gramm,Packung 70 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.986
1402,K Classic Schinkenpastete gebacken,0.99,100 Gramm,Packung 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.66
1403,K Classic Geflügel Schinkenpastete gebacken,1.09,100 Gramm,Packung 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.87
1404,K Classic Paprikapastete gebacken,0.99,100 Gramm,Packung 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.66
1405,K Classic Paprika Pfefferbeißer,2.59,100 Gramm,Packung 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.86
1406,K Purland Eisbein vom Schwein,2.99,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.29900000000000004
1407,Könecke Baquette Salami luftgetrocknet,1.09,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.09
1408,"Zimbo Schlemmen und Sparen Hinterkochschinken, 7 Scheiben",1.39,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.7
1409,"Könecke Leicht & lecker Deutsches Corned Beef 3,5 % Fett",1.59,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.8
1410,Tillmans Mettzwerge Frische Zwiebelmettwurst,1.89,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.95
1411,Wiesenhof Puten-Salami halal,3.99,100 Gramm,Folie 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.6
1412,Wiltmann Entenleber Pastete,1.49,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.49
1413,Hochwald 4 scharfe Bockwürstchen Hot Chili,2.59,100 Gramm,Glas 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.648
1414,Krone Bockwurst,2.19,100 Gramm,Folie 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.438
1415,Hochwald Bockwürstchen 5 Stück,0.95,100 Gramm,Dose 380 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.25
1416,FairMast Frisches Hähnchen ganz,5.49,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.549
1417,Nature & Respect Ente aus Freilandhaltung frisch,1.66,100 Gramm,Packung 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.66
1418,Purland Bratwurstschnecken frisch,2.19,100 Gramm,Packung 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.46
1419,Herta Finesse zarte Putenbrust mit Honig,0.99,100 Gramm,Becher 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.79
1420,"Windau Schinken Zwiebelmettwurst streichzart,  2 x 62,5 g",1.89,100 Gramm,Packung 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.63
1421,Adler Fleischwurst in Streifen für Salat,3.19,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.798
1422,Zimbo Gourmet Delikatess Wiener Würstchen 2 x 200 g,0.79,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.79
1423,"Windau Schinken Pfeffermett frischfein, 2 x 62,5 g",0.99,100 Gramm,Becher 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.79
1424,Wiesenhof Geflügel Mortadella,0.99,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.99
1425,Die Thüringer Rostbratwurst,3.99,100 Gramm,"Packung 500 Gramm, 5 x 100 g",kaufland,Fleisch Wurst Aufschnitt,0.798
1426,Sickendieck Geflügel Mortadella,0.69,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.35
1427,Ponnath Proschutta,1.29,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.61
1428,"Bille Xtreme Hot Salami in Scheiben, die xtrascharfe Salami",1.69,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,2.11
1429,Friki Geflügellaune Hähnchen Herzen,1.67,100 Gramm,Packung 342 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.488
1430,Dreistern Schweinskopf Sülze,1.99,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.49800000000000005
1431,Börner Eisenacher Mettwurst nach Eichsfelder Art,1.39,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.39
1432,Gustoland Schinken Salami Aktion Tierwohl,1.49,100 Gramm,Vakuum 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.49
1433,Thüringer Landstolz Unser Sandmännchen Feine Geflügelpastete,0.99,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.24
1434,Schypke Schinkenröllchen mit Sahnemeerrettich mit Kräuterfrischkäsefüllung in Aspik,1.69,100 Gramm, 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.69
1435,Rätzel Rinderzunge,1.95,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,2.44
1436,Eberswalder Schweinezunge gepöckelt geschnitten,0.99,100 Gramm,Vakuum 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.99
1437,Eyckeler & Malt Vegetarische Rostbratwurst,2.99,100 Gramm,Packung 330 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.91
1438,Kohlhase Kapitänsülze,3.19,100 Gramm,Becher 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.06
1439,"Friki Kasseler Broiler Hähnchen nach Kasseler Art, heiß geräuchert",1.35,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.68
1440,Schwarz Cranz Grobe Leberwurst nach Pommersche Art,1.19,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.19
