,Name,Price,Price per,Unit,Packet Size,Supermarket
2949,alio compact Regeneriersalz extra grobkörnig,"1,29 €","0,43 €",Preis pro Stück,(Packung 3 Stück),aldi-sued
2950,alio Maschinenpfleger 2-er,"0,79 €","0,40 €",Preis pro 1 KG,(Packung 2 KG),aldi-sued
2951,Be Light Fruchtgummi plus Gummi,"2,49 €","1,25 €",Preis pro Stück,(Packung 2 Stück),aldi-sued
2952,"Be Light  Fruchtjoghurt Erdbeere,  0,1 % Fett","3,79 €","5,83 €",Preis pro 1 KG,(Folie 650 Gramm),aldi-sued
2953,"Aldi Süd Fruchtjoghurt Pfirsich,  0,1 % Fett","1,79 €","1,19 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2954,"Aldi Süd Delikatess Lachsschinken Natur, in Scheiben","1,79 €","1,19 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2955,"Aldi Süd Delikatess Lachsschinken Kräutermantel, in Scheiben","1,79 €","1,19 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2956,Aldi Süd Hähnchen-Medaillons Hawaii,"3,39 €","6,78 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2957,"Aldi Süd Hähnchen Mini Schnitzel paniert, gefroren ,12 - 18 Stück","2,89 €","5,78 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2958,"Aldi Süd Hähnchenbrustfilets vorgebraten, tiefgekühlt","2,49 €","4,98 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2959,Aldi Süd Hähnchen Cordon Bleu,"2,49 €","4,98 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2960,"Aldi Süd Deutsches Hähnchen Handelsklasse A, ungewürzt","2,39 €","1,99 €",Preis pro 1 KG,(Folie 1200 Gramm),aldi-sued
2961,Aldi Süd Straußen Steaks 3 - 4 Stück. Küchenfertig zubereitet,"5,59 €","13,98 €",Preis pro 1 KG,(Packung 400 Gramm),aldi-sued
2962,Caribic Aldi Süd Pflegebad Milch und Honig,"1,99 €","1,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-sued
2963,Caribic Aldi Süd Pflegebad Soft Cream,"1,99 €","1,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-sued
2964,"Grandessa Fruchtaufstrich Aprikose, 75% Fruchtanteil","3,79 €","5,83 €",Preis pro 1 KG,(Folie 650 Gramm),aldi-sued
2965,"Grandessa Premium Stieleis Quark-Mandarine, 3 x 120 ml","0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),aldi-sued
