,Name,Price,Price per,Unit,Packet Size,Supermarket
2985,Eberswalder Wacholdersalami,"1,19 €","1,19 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
2986,"Bürger Gerollte Maultaschen traditionell und locker gerollt, 6 Stück","1,89 €","0,56 €",Preis pro 100 Gramm,(Packung 340 Gramm),lidl
2987,Bürger Bio-Maultaschen 6 Stück einzeln im Kochbeutel,"1,89 €","0,53 €",Preis pro 100 Gramm,(Packung 360 Gramm),lidl
2988,"Dr. Oetker Paula Minis Vanille Pudding mit Schokoflecken, 6 x 50 g","0,99 €","3,30 €",Preis pro 1 KG,(Packung 300 Gramm),lidl
2989,Landliebe Milchreis Schokolade,"0,35 €","0,23 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
2990,3D Bugles Paprika Style,"0,99 €","0,99 €",Preis pro 100 Gramm,(Beutel 100 Gramm),lidl
2991,Eridanous Grüne Bohnen in Tomatensauce,"2,89 €","0,96 €",Preis pro 100 Gramm,(Packung 300 Gramm),lidl
2992,Eridanous Sahnejoghurt mit Honig und Feigen,"1,59 €","0,57 €",Preis pro 100 Gramm,(Dose 280 Gramm),lidl
2993,Eridanous Sahnejoghurt mit Honig,"0,39 €","0,22 €",Preis pro 100 Gramm,(Becher 175 Gramm),lidl
2994,Eridanous Sahnejoghurt mit Honig und Datteln,"0,39 €","0,22 €",Preis pro 100 Gramm,(Becher 175 Gramm),lidl
2995,Ilmenauer Thüringer Saftfleisch mit Kümmel,"0,39 €","0,22 €",Preis pro 100 Gramm,(Becher 175 Gramm),lidl
2996,Ilmenauer Thüringer Saftfleisch mit grünem Pfeffer,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
2997,Schüetzli Eierspätzli,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
2998,Zott Bayerntaler Der Leichte leicht,"1,11 €","2,22 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
2999,Marinjo,"1,29 €","0,86 €",Preis pro 100 Gramm,(Packung 150 Gramm),lidl
