,Name,Price,Price per,Unit,Packet Size,Supermarket
2444,Jütro Erdbeeren,"1,39 €","3,48 €",Preis pro 1 KG,(Becher 400 Gramm),kaufland
2445,Frosta Wildlachs in Blätterteig,"2,29 €","3,05 €",Preis pro 1 KG,(Packung 750 Gramm),kaufland
2446,"Frosta Italienische Kräuter fein gehackt, streufähig","3,99 €","1,33 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
2447,Vossko Hähnchenspieße Mediterran - 4 - 6 Stück,"0,69 €","1,38 €",Preis pro 100 Gramm,(Packung 50 Gramm),kaufland
2448,Gutfried Buffet Geflügel Mortadella mit Paprika,"1,99 €","7,96 €",Preis pro 1 KG,(Packung 250 Gramm),kaufland
2449,Wurzener Kuchenmehl Weizenmehl Type 550,"0,99 €","1,24 €",Preis pro 100 Gramm,(Packung 80 Gramm),kaufland
2450,Janosch zarter Frosch Käse 45% Fett,"0,29 €","0,36 €",Preis pro 100 Gramm,(Beutel 80 Gramm),kaufland
2451,Dr.Doerr Höchster Genuss Käse-Obst-Salat,"1,59 €","1,59 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
2452,Dr.Doerr Höchster Genuss Rindfleisch Salat,"1,39 €","0,93 €",Preis pro 100 Gramm,(Schale 150 Gramm),kaufland
2453,"Aerzener gefüllter Streuselkuchen gefüllter Streuselkuchen, 4 Stück","1,65 €","1,10 €",Preis pro 100 Gramm,(Schale 150 Gramm),kaufland
2454,Aerzener Bienenstich 4 Stück,"1,89 €","4,20 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
2455,Toni Kaiser Germknödel,"1,89 €","4,73 €",Preis pro 1 KG,(Packung 400 Gramm),kaufland
2456,Komet Pudding Vanille-Geschmack,"1,49 €","0,40 €",Preis pro 100 Gramm,(Packung 370 Gramm),kaufland
2457,Komet Pudding Mandel - Geschmack,"0,29 €","0,73 €",Preis pro 100 Gramm,(Beutel 40 Gramm),kaufland
2458,DS Glutenfreie Pizza Bella Italia Magherita,"0,29 €","0,73 €",Preis pro 100 Gramm,(Beutel 40 Gramm),kaufland
2459,Halberstäder Gelbe Erbsen Eintopf,"3,49 €","1,32 €",Preis pro 100 Gramm,(Packung 265 Gramm),kaufland
2460,Crest Back Ziegenkäse 4 Stück,"2,29 €","2,86 €",Preis pro 1 Liter,(Dose 800 ML),kaufland
2461,"Sachsenmilch H-Vollmilch 3,5% Fett","2,19 €","2,19 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
2462,"Sachsenmilch H-fettarme Milch 1,5% Fett","0,79 €","1,05 €",Preis pro 1 Liter,(Pet-Flasche 0.75 L),kaufland
2463,Lambertz Mandel-Honig-Saftprinten,"0,75 €","1,00 €",Preis pro 1 Liter,(Pet-Flasche 0.75 L),kaufland
2464,"Dr. Lange Küchen Meister Buchstabensuppe, 3 Teller","1,99 €","1,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
2465,Jojos Geflügel Fleischwurst,"1,19 €","1,19 €",Preis pro 1 Liter,(Getränkekarton 1000 ML),kaufland
2466,Jojos Geflügel Hackbällchen,"0,87 €","0,50 €",Preis pro 100 Gramm,(Packung 175 Gramm),kaufland
